,mid_x,mid_y,mid_z,MAGSUS_MOD,MINDOM_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Cu_Sulf_Mode,FeOx_1_Mode_1,FeOx_1_Type,Py_Min_Mode_1,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
0,399995.43,7072702.96,1023.55,out,Sulfides,VLCL_BOTTOM,13.99,28.96681688533942,14.050012522848988,10234.0,0.5,5.54,20.0,0.074,120.0,1.0,11.0,2.68,0.8,217.0,27,0.367,23.0,1.16,1.88,2040,95.0,1.92,21.0,1040,2.0,2.55,5.0,13.863495222929936,29.667879777070066,39.0,0.66,165.0,10.0,87,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,1.0,0.0,1.0,2.0,0.3,0.3,0.0,15.0,5.0,7.0,0.2,0.0,0.0,0.2,13.0,1.0,0.0,2.0
1,399995.43,7072702.96,1022.55,out,Sulfides,VLCL_BOTTOM,13.99,28.96681688533942,14.050012522848988,10234.0,0.5,5.54,20.0,0.074,120.0,1.0,11.0,2.68,0.8,217.0,27,0.367,23.0,1.16,1.88,2040,95.0,1.92,21.0,1040,2.0,2.55,5.0,13.863495222929936,29.667879777070066,39.0,0.66,165.0,10.0,87,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,0.0,1.0,2.0,0.3,0.3,0.0,15.0,2.0,4.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0
2,399995.43,7072702.96,988.65,out,Sulfides,VLCL_BOTTOM,17.64,28.96681688533942,14.050012522848988,10225.0,0.5,5.69,36.0,0.044,390.0,1.0,8.0,3.28,0.5,176.0,11,0.3,18.8,1.14,1.13,1600,27.0,2.15,16.0,1690,3.0,1.11,7.0,13.863495222929936,29.667879777070066,58.0,0.92,203.0,10.0,166,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,0.0,0.0,2.0,0.2,0.2,0.0,17.0,6.0,8.0,0.8,0.0,1.0,0.0,15.0,1.5,2.0,2.0
3,399995.43,7072702.96,936.65,out,Sulfides,VLCL_BOTTOM,8.5,14.34,4.13,5830.0,0.6,7.65,15.0,0.029,670.0,0.7,4.0,2.76,0.5,88.0,115,0.353,14.55,2.69,4.55,2620,4.0,0.95,46.0,840,2.0,0.89,9.0,13.863495222929936,29.667879777070066,115.0,0.88,203.0,10.0,152,Cu_M_221,Fe1_M1_804,Fe1_T_b,Py_M1_304,0.0,0.0,0.0,1.0,0.2,0.3,1.0,25.0,2.0,5.0,0.0,0.0,2.0,0.0,22.0,0.5,2.0,1.0
4,399995.43,7072702.96,910.65,out,Sulfides,VLCL_BOTTOM,9.4,17.4,5.22,6636.0,0.7,4.07,18.0,0.024,140.0,0.7,5.0,7.59,0.5,152.0,61,0.0469,14.75,2.15,2.73,2290,53.0,0.32,40.0,520,4.0,2.3,8.0,13.863495222929936,29.667879777070066,7.0,0.51,133.0,10.0,59,Cu_M_220,Fe1_M1_304,Fe1_T_b,Py_M1_504,0.0,1.0,0.0,1.0,0.2,0.2,1.0,25.0,0.0,5.0,0.0,0.0,2.0,0.0,20.0,0.6,2.0,2.0
5,399860.05,7072764.8,901.67,out,Sulfides,ANLT,3.5,13.05,1.71,781.0,0.5,6.99,13.0,0.014,220.0,0.8,8.0,3.0,0.7,83.0,31,0.14,11.1,1.32,2.09,1510,11.0,2.89,19.0,1400,2.0,0.75,5.0,13.863495222929936,29.667879777070066,31.0,0.94,259.0,10.0,51,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.3,0.3,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.3,1.0,1.0
6,399860.05,7072764.8,895.67,out,Sulfides,ANLT,8.6,15.62,3.41,4853.0,0.5,6.48,9.0,0.021,240.0,1.2,10.0,3.68,0.9,46.0,35,0.243,14.35,1.92,2.22,1775,10.0,1.52,13.0,1120,2.0,0.6,5.0,13.863495222929936,29.667879777070066,20.0,0.83,253.0,10.0,60,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.5,0.5,0.0,10.0,0.5,0.5,0.0,0.0,0.0,0.0,10.0,0.3,0.0,1.0
7,399860.05,7072764.8,884.17,out,Sulfides,VLCL_BOTTOM,5.13,12.35,14.050012522848988,4648.0,0.5,6.12,48.0,0.022,210.0,1.1,7.0,4.62,1.0,66.0,30,0.334,12.1,0.59,2.16,2350,8.0,2.53,15.0,1360,2.0,0.71,5.0,13.863495222929936,29.667879777070066,29.0,0.91,257.0,10.0,74,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,0.0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,1.0,1.0
8,399860.05,7072764.8,883.17,out,Sulfides,VLCL_BOTTOM,5.13,12.35,14.050012522848988,4648.0,0.5,6.12,48.0,0.022,210.0,1.1,7.0,4.62,1.0,66.0,30,0.334,12.1,0.59,2.16,2350,8.0,2.53,15.0,1360,2.0,0.71,5.0,13.863495222929936,29.667879777070066,29.0,0.91,257.0,10.0,74,Cu_M_504,Fe1_M1_304,Fe1_T_e,Py_M1_304,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0
9,399860.05,7072764.8,879.67,out,Sulfides,VLCL_BOTTOM,6.2,13.13,3.57,3601.0,0.5,4.94,35.0,0.016,140.0,1.2,8.0,10.25,1.0,86.0,29,0.106,13.05,0.91,2.44,3020,6.0,0.5,9.0,670,2.0,0.75,5.0,13.863495222929936,29.667879777070066,1.0,0.52,172.0,10.0,69,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,2.0,0.0,0.0,3.0,0.0,0.0,1.0,18.0,0.5,0.5,0.0,0.0,1.0,0.0,18.0,0.2,0.0,0.0
10,399860.05,7072764.8,861.67,out,Sulfides,VLCL_BOTTOM,16.0,10.64,4.25,5690.0,0.5,7.85,11.0,0.009,1900.0,0.7,7.0,2.81,0.5,46.0,42,0.0544,10.5,2.73,2.38,4120,6.0,2.18,11.0,640,2.0,0.31,5.0,13.863495222929936,29.667879777070066,200.0,0.71,238.0,10.0,179,Cu_M_200,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.1,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,1.0,1.0
11,399860.05,7072764.8,829.67,out,Sulfides,VLCL_BOTTOM,14.92,18.8,14.050012522848988,11153.0,0.5,7.34,7.0,0.021,330.0,0.7,2.0,2.44,0.5,224.0,87,0.1785,18.95,2.62,3.73,2900,5.0,1.5,64.0,810,2.0,1.39,5.0,13.863495222929936,29.667879777070066,40.0,0.58,167.0,10.0,161,Cu_M_304,Fe1_M1_221,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.1,0.2,0.0,12.0,0.5,0.5,0.0,0.0,1.0,0.0,12.0,0.5,0.0,0.0
12,399860.05,7072764.8,819.67,in,Sulfides,VLCL_BOTTOM,9.3,15.17,6.18,8347.0,0.5,6.48,7.0,0.014,200.0,0.7,4.0,3.41,0.5,232.0,85,0.0812,14.1,1.16,4.39,1895,2.0,1.24,60.0,800,2.0,1.74,5.0,13.863495222929936,29.667879777070066,25.0,0.66,179.0,10.0,118,Cu_M_304,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.1,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,1.0
13,399860.05,7072764.8,817.67,in,Sulfides,VLCL_BOTTOM,45.58,28.96681688533942,14.050012522848988,44253.0,1.1,2.99,10.0,0.14,150.0,1.0,8.0,1.83,0.6,377.0,3,0.7,41.9,1.27,1.62,875,4.0,0.16,73.0,300,2.0,2.44,5.0,13.863495222929936,29.667879777070066,6.0,0.15,92.0,10.0,40,Cu_M_504,Fe1_M1_806,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,3.0,0.8,0.8,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.8,0.0,0.0
14,399957.49,7072781.83,1048.36,out,Mixture,ANDE_UPPER,13.5,11.92,4.93,4436.0,0.5,7.16,26.0,0.039,70.0,1.5,2.0,4.08,0.5,75.0,14,0.4,12.3,0.58,1.47,1735,14.0,3.76,10.0,2230,12.0,0.33,5.0,13.863495222929936,29.667879777070066,21.0,1.42,350.0,10.0,56,Cu_M_200,Fe1_M1_304,Fe1_T_b,Py_M1_304,0.0,0.0,0.0,2.0,0.1,0.1,0.0,8.5,1.0,1.5,1.5,0.0,1.0,0.0,8.0,0.3,1.0,2.0
15,399957.49,7072781.83,1047.36,out,Mixture,ANDE_UPPER,13.5,11.92,4.93,4436.0,0.5,7.16,26.0,0.039,70.0,1.5,2.0,4.08,0.5,75.0,14,0.4,12.3,0.58,1.47,1735,14.0,3.76,10.0,2230,12.0,0.33,5.0,13.863495222929936,29.667879777070066,21.0,1.42,350.0,10.0,56,Cu_M_200,Fe1_M1_304,Fe1_T_b,Py_M1_221,0.0,0.0,0.0,2.0,0.1,0.1,0.0,10.0,2.0,3.0,0.5,0.0,1.0,2.0,7.0,0.3,1.0,2.0
16,399957.49,7072781.83,1007.61,out,Sulfides,VLCL_TOP,11.51,28.96681688533942,14.050012522848988,5362.0,0.5,1.88,24.0,0.104,230.0,0.8,14.0,0.69,0.5,357.0,7,0.957,45.4,0.94,0.84,1825,13.0,0.03,2.0,320,20.0,2.61,5.0,13.863495222929936,29.667879777070066,12.0,0.11,60.0,10.0,55,Cu_M_504,Fe1_M1_904,Fe1_T_b,Py_M1_504,0.0,0.0,0.0,0.0,2.0,2.5,0.0,80.0,4.5,15.0,4.5,0.0,1.0,0.0,65.0,1.0,0.0,1.0
17,399957.49,7072781.83,823.61,out,Sulfides,VLCL_BOTTOM,11.63,28.32,14.050012522848988,8074.0,1.0,3.02,13.0,0.124,170.0,0.7,5.0,2.91,0.7,180.0,15,0.91,28.3,0.95,1.44,1020,64.0,0.63,31.0,790,6.0,2.68,5.0,13.863495222929936,29.667879777070066,4.0,0.38,93.0,10.0,37,Cu_M_200,Fe1_M1_804,Fe1_T_e,Py_M1_304,0.0,0.0,1.0,1.0,1.0,1.2,0.0,45.0,11.0,46.0,0.0,0.0,1.0,0.0,10.0,0.8,2.0,2.0
18,399912.31,7072874.59,906.68,out,Sulfides,ANLT,7.7,15.73,4.82,5697.0,0.6,6.59,14.0,0.077,480.0,1.3,6.0,2.76,0.5,98.0,24,0.586,14.7,1.84,3.19,3570,2.0,1.56,34.0,770,2.0,1.51,5.0,13.863495222929936,29.667879777070066,92.0,0.72,211.0,10.0,154,Cu_M_504,Fe1_M1_221,Fe1_T_e,Py_M1_304,0.0,0.0,0.0,3.0,0.5,0.5,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0
19,399912.31,7072874.59,905.68,out,Sulfides,ANLT,7.7,15.73,4.82,5697.0,0.6,6.59,14.0,0.077,480.0,1.3,6.0,2.76,0.5,98.0,24,0.586,14.7,1.84,3.19,3570,2.0,1.56,34.0,770,2.0,1.51,5.0,13.863495222929936,29.667879777070066,92.0,0.72,211.0,10.0,154,Cu_M_504,Fe1_M1_906,Fe1_T_a,Py_M1_304,0.0,1.0,0.0,2.0,4.0,4.0,0.0,70.0,0.5,0.5,0.0,0.0,0.0,0.0,70.0,1.5,0.0,1.0
20,399912.31,7072874.59,886.43,out,Sulfides,VLCL_BOTTOM,5.78,36.44,14.050012522848988,3175.0,1.7,2.6,75.0,0.05,60.0,0.6,9.0,1.52,0.5,385.0,3,0.428,34.3,0.48,1.02,1535,16.0,0.69,38.0,390,2.0,3.81,5.0,13.863495222929936,29.667879777070066,17.0,0.12,52.0,20.0,140,Cu_M_504,Fe1_M1_906,Fe1_T_d,Py_M1_304,0.0,0.0,0.0,0.0,0.3,0.3,0.0,65.0,0.0,60.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0
21,399912.31,7072874.59,870.43,out,Sulfides,VLCL_BOTTOM,10.0,35.72,14.050012522848988,6264.0,0.9,3.03,11.0,0.097,150.0,0.5,4.0,1.14,0.5,159.0,6,0.707,34.1,1.15,1.47,1400,5.0,0.53,37.0,520,2.0,2.48,5.0,13.863495222929936,29.667879777070066,11.0,0.17,73.0,10.0,40,Cu_M_504,Fe1_M1_906,Fe1_T_d,Py_M1_304,0.0,0.0,0.0,1.0,0.8,0.8,0.0,85.0,0.0,65.0,0.0,0.0,1.0,0.0,20.0,2.0,1.0,1.0
22,399912.31,7072874.59,864.43,out,Sulfides,VLCL_BOTTOM,17.38,28.96681688533942,14.050012522848988,10870.0,0.9,3.08,10.0,0.056,150.0,0.9,6.0,2.03,0.5,209.0,5,0.379,34.3,1.24,2.03,1150,4.0,0.07,42.0,400,2.0,2.65,5.0,13.863495222929936,29.667879777070066,7.0,0.22,75.0,10.0,56,Cu_M_504,Fe1_M1_221,Fe1_T_b,Py_M1_304,0.0,0.0,0.0,2.0,0.6,1.0,0.0,10.0,2.0,4.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,1.0
23,399781.66,7072924.65,893.33,in,Sulfides,VLCL_TOP,71.8,28.96681688533942,14.050012522848988,81540.0,1.3,0.68,20.0,0.212,10.0,0.7,12.0,1.87,8.9,438.0,1,0.377,54.7,0.06,0.46,810,14.0,0.07,52.0,220,18.0,4.85,5.0,13.863495222929936,29.667879777070066,4.0,0.04,33.0,10.0,24,Cu_M_304,Fe1_M1_904,Fe1_T_a,Py_M1_304,1.0,0.0,2.0,0.0,3.0,3.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,1.0,0.0
24,399600.02,7072835.58,949.52,in,Sulfides,VLCL_TOP,61.28,28.96681688533942,14.050012522848988,60623.0,0.5,1.88,15.0,0.088,90.0,0.5,2.0,2.61,0.5,142.0,15,0.685,48.9,0.46,1.09,1045,1.0,0.04,21.0,380,9.0,2.11,5.0,13.863495222929936,29.667879777070066,26.0,0.12,44.0,10.0,78,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,2.0,2.0,2.0,2.0,75.0,3.0,0.0,3.0,0.0,0.0,0.0,75.0,4.0,1.0,1.0
25,399600.02,7072835.58,939.52,in,Sulfides,VLCL_TOP,12.54,28.96681688533942,14.050012522848988,10296.0,0.6,6.05,18.0,0.119,100.0,0.7,2.0,6.87,0.5,73.0,59,0.843,19.4,1.0,4.21,1845,1.0,0.1,20.0,670,9.0,1.22,5.0,13.863495222929936,29.667879777070066,117.0,0.52,139.0,10.0,219,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,2.0,0.0,0.0,2.0,1.0,1.0,2.0,45.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,0.7,1.0,2.0
26,399600.02,7072835.58,935.52,in,Sulfides,ANLT,74.19,28.96681688533942,14.050012522848988,70043.0,0.5,0.97,48.0,0.072,110.0,0.5,2.0,2.63,0.5,70.0,31,0.365,55.4,0.17,0.59,997,12.0,0.06,9.0,270,10.0,0.71,5.0,13.863495222929936,29.667879777070066,1.0,0.08,45.0,10.0,56,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,1.0,0.0,0.0,2.0,0.8,0.8,1.0,45.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,0.5,1.0,1.0
27,399600.02,7072835.58,905.52,in,Sulfides,VLCL_BOTTOM,51.52,28.96681688533942,14.050012522848988,49925.0,0.5,2.55,29.0,0.049,130.0,0.5,2.0,4.08,0.5,97.0,37,0.434,41.9,0.55,1.96,2310,2.0,0.05,32.0,360,6.0,0.9,5.0,13.863495222929936,29.667879777070066,10.0,0.18,61.0,10.0,170,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,1.0,0.0,0.0,2.0,7.0,7.0,1.0,65.0,2.0,0.0,2.0,0.0,0.0,0.0,65.0,5.0,1.0,2.0
28,399600.02,7072835.58,879.52,in,Sulfides,VLCL_BOTTOM,72.14,57.06,14.050012522848988,91248.0,0.5,0.85,12.0,0.022,100.0,0.7,2.0,1.14,0.5,633.0,8,0.0637,55.0,0.48,0.48,906,1.0,0.02,28.0,420,9.0,4.35,5.0,13.863495222929936,29.667879777070066,1.0,0.06,41.0,10.0,237,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_304,2.0,0.0,1.0,2.0,1.0,1.0,1.0,85.0,2.0,0.0,2.0,0.0,1.0,0.0,85.0,5.0,2.0,3.0
29,399600.02,7072835.58,875.52,in,Sulfides,VLCL_BOTTOM,33.26,28.96681688533942,14.050012522848988,34585.0,0.5,3.26,18.0,0.018,140.0,0.5,2.0,3.21,0.5,486.0,60,0.0609,32.1,1.26,2.31,2220,1.0,0.05,45.0,570,9.0,3.97,5.0,13.863495222929936,29.667879777070066,47.0,0.16,70.0,10.0,271,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,2.0,0.5,0.5,3.0,85.0,1.0,0.0,1.0,0.0,0.0,0.0,85.0,1.0,2.0,2.0
30,399600.02,7072835.58,873.52,in,Sulfides,VLCL_BOTTOM,54.63,43.99,14.050012522848988,62140.0,0.5,2.11,8.0,0.021,500.0,0.7,2.0,2.09,1.4,169.0,44,0.111,41.2,1.59,1.18,1980,1.0,0.04,33.0,530,14.0,1.53,5.0,13.863495222929936,29.667879777070066,11.0,0.12,59.0,10.0,431,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,2.0,0.3,0.3,1.0,90.0,0.5,0.0,0.5,0.0,1.0,0.0,90.0,1.0,2.0,2.0
31,399600.02,7072835.58,853.52,in,Sulfides,VLCL_BOTTOM,4.0,13.31,2.4,3022.0,0.5,5.97,16.0,0.005,200.0,0.6,2.0,4.67,0.5,466.0,40,0.0154,12.6,2.58,2.34,2650,1.0,1.24,17.0,600,8.0,3.28,5.0,13.863495222929936,29.667879777070066,84.0,0.38,130.0,10.0,227,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.2,0.0,0.2,0.0,2.0,0.0,2.0,0.3,2.0,1.0
32,399510.8,7072793.06,906.76,in,Sulfides,ANLT,19.08,28.96681688533942,14.050012522848988,15585.0,1.0,5.25,18.0,0.097,80.0,0.6,9.0,6.29,0.7,402.0,64,0.832,25.6,0.71,2.81,1445,4.0,0.29,54.0,520,4.0,4.84,12.0,13.863495222929936,29.667879777070066,148.0,0.54,80.0,10.0,158,Cu_M_504,Fe1_M1_904,Fe1_T_b,Py_M1_504,0.0,0.0,0.0,2.0,10.0,12.0,3.0,55.0,0.5,5.0,0.5,0.0,1.0,0.0,50.0,10.0,2.0,2.0
33,399510.8,7072793.06,898.76,in,Sulfides,ANLT,80.38,28.96681688533942,14.050012522848988,79723.0,0.6,0.74,13.0,0.086,30.0,0.6,18.0,0.72,1.0,406.0,9,0.799,61.2,0.15,0.42,802,7.0,0.04,42.0,210,9.0,4.1,18.0,13.863495222929936,29.667879777070066,14.0,0.05,43.0,10.0,47,Cu_M_200,Fe1_M1_904,Fe1_T_b,Py_M1_308,0.0,0.0,0.0,3.0,10.0,11.0,0.0,74.0,1.0,4.0,1.0,0.0,0.0,0.0,70.0,14.0,1.0,3.0
34,399681.15,7072878.43,874.28,in,Sulfides,VLCL_BOTTOM,66.83,28.96681688533942,14.050012522848988,64368.0,0.6,1.17,33.0,0.053,90.0,0.9,21.0,2.37,2.3,919.0,25,0.267,52.3,0.45,0.77,1160,1.0,0.12,49.0,290,2.0,6.49,5.0,13.863495222929936,29.667879777070066,1.0,0.08,36.0,10.0,172,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,1.0,0.0,0.0,2.0,0.5,0.5,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,3.0,2.0,2.0
35,399681.15,7072878.43,808.28,out,Sulfides,VLCL_BOTTOM,16.95,25.71,14.050012522848988,12360.0,1.1,4.6,23.0,0.059,150.0,0.7,9.0,5.24,0.5,356.0,37,0.208,24.4,1.11,1.76,2530,1.0,0.66,25.0,700,2.0,4.57,10.0,13.863495222929936,29.667879777070066,45.0,0.3,106.0,10.0,136,Cu_M_504,Fe1_M1_304,Fe1_T_b,Py_M1_504,1.0,0.0,1.0,2.0,0.2,0.2,1.0,15.0,1.0,1.0,1.0,0.0,1.0,0.0,14.0,3.0,2.0,2.0
36,399464.06,7072884.34,923.51,in,Sulfides,VLCL_TOP,12.4,13.57,4.91,6251.0,0.6,6.64,24.0,0.033,1200.0,0.8,9.0,3.4,0.5,66.0,245,0.244,12.0,1.55,5.4,4230,1.0,0.99,150.0,1180,3.0,0.41,5.0,13.863495222929936,29.667879777070066,264.0,0.61,227.0,10.0,876,Cu_M_221,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,1.0,0.1,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,1.0,0.0
37,399464.06,7072884.34,879.51,in,Sulfides,VLCL_TOP,32.05,28.96681688533942,14.050012522848988,19280.0,0.5,1.66,38.0,0.024,40.0,0.9,64.0,4.07,0.5,903.0,13,0.118,39.5,0.16,0.59,1955,2.0,0.04,13.0,580,2.0,6.76,8.0,13.863495222929936,29.667879777070066,32.0,0.09,22.0,10.0,71,Cu_M_504,Fe1_M1_906,Fe1_T_c,Py_M1_304,0.0,1.0,0.0,1.0,0.2,0.2,0.0,76.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0,4.0,1.0,1.0
38,399464.06,7072884.34,877.51,in,Sulfides,VLCL_TOP,24.85,28.96681688533942,14.050012522848988,12453.0,0.5,1.48,35.0,0.062,30.0,0.7,40.0,3.19,0.5,292.0,14,0.445,36.3,0.07,0.32,1480,5.0,0.02,17.0,520,2.0,1.94,14.0,13.863495222929936,29.667879777070066,23.0,0.08,22.0,10.0,39,Cu_M_504,Fe1_M1_906,Fe1_T_d,Py_M1_304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,1.5,2.0,1.0
39,399464.06,7072884.34,875.51,in,Sulfides,VLCL_TOP,37.3,28.96681688533942,14.050012522848988,24620.0,0.5,1.5,36.0,0.017,50.0,0.7,67.0,4.29,0.5,420.0,13,0.0426,37.2,0.03,0.32,1235,1.0,0.02,19.0,470,2.0,3.4,11.0,13.863495222929936,29.667879777070066,27.0,0.08,26.0,10.0,30,Cu_M_504,Fe1_M1_906,Fe1_T_b,Py_M1_304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,55.0,0.0,0.0,0.0,0.0,15.0,5.0,1.0,1.0
40,399464.06,7072884.34,873.51,in,Sulfides,VLCL_TOP,29.95,28.96681688533942,14.050012522848988,21593.0,1.2,2.62,28.0,0.019,30.0,0.7,9.0,5.39,0.5,296.0,21,0.0357,33.4,0.13,1.42,1900,4.0,0.03,24.0,550,3.0,2.23,15.0,13.863495222929936,29.667879777070066,31.0,0.13,48.0,10.0,123,Cu_M_504,Fe1_M1_304,Fe1_T_d,Py_M1_304,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,1.0
41,399464.06,7072884.34,871.51,in,Sulfides,VLCL_TOP,69.45,28.96681688533942,14.050012522848988,65895.0,1.1,1.03,21.0,0.025,30.0,0.8,13.0,1.35,0.5,552.0,11,0.259,53.9,0.08,0.78,861,22.0,0.03,23.0,430,6.0,3.75,21.0,13.863495222929936,29.667879777070066,11.0,0.05,29.0,10.0,67,Cu_M_504,Fe1_M1_806,Fe1_T_b,Py_M1_304,1.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.5,0.0,1.0
42,399464.06,7072884.34,869.51,in,Sulfides,VLCL_TOP,84.1,28.96681688533942,14.050012522848988,57823.0,0.9,0.52,12.0,0.102,80.0,0.5,12.0,0.88,0.5,400.0,6,0.565,61.4,0.05,0.35,571,6.0,0.04,40.0,320,3.0,2.3,20.0,13.863495222929936,29.667879777070066,11.0,0.03,24.0,10.0,42,Cu_M_304,Fe1_M1_906,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,1.0,1.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,5.0,1.0,0.0
43,399464.06,7072884.34,867.51,in,Sulfides,VLCL_TOP,67.35,28.96681688533942,14.050012522848988,72843.0,2.2,0.43,33.0,0.217,60.0,0.5,2.0,0.93,0.5,1860.0,7,2.02,56.7,0.04,0.26,529,6.0,0.03,33.0,290,2.0,9.46,25.0,13.863495222929936,29.667879777070066,10.0,0.05,24.0,10.0,53,Cu_M_221,Fe1_M1_906,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,1.0,15.0,15.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.0,1.0,0.0
44,399464.06,7072884.34,865.51,in,Sulfides,VLCL_TOP,79.05,28.96681688533942,14.050012522848988,87445.0,1.7,0.38,34.0,0.098,10.0,0.6,13.0,0.72,0.5,945.0,6,0.675,60.3,0.04,0.2,539,9.0,0.04,42.0,170,4.0,4.84,28.0,13.863495222929936,29.667879777070066,7.0,0.03,27.0,10.0,34,Cu_M_221,Fe1_M1_906,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,1.0,8.0,8.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,1.0,0.0
45,399464.06,7072884.34,863.51,in,Sulfides,VLCL_TOP,79.75,28.96681688533942,14.050012522848988,79450.0,1.4,0.66,21.0,0.057,10.0,0.6,11.0,0.63,0.5,583.0,6,0.365,62.7,0.05,0.51,590,4.0,0.04,72.0,190,2.0,3.83,25.0,13.863495222929936,29.667879777070066,10.0,0.04,32.0,10.0,48,Cu_M_304,Fe1_M1_906,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,1.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,10.0,1.0,0.0
46,399464.06,7072884.34,861.51,in,Sulfides,VLCL_TOP,83.15,28.96681688533942,14.050012522848988,83775.0,1.3,0.66,20.0,0.131,20.0,0.6,5.0,0.74,0.5,419.0,10,0.398,62.0,0.07,0.45,606,8.0,0.04,41.0,180,8.0,2.55,20.0,13.863495222929936,29.667879777070066,10.0,0.05,33.0,10.0,52,Cu_M_221,Fe1_M1_906,Fe1_T_a,Py_M1_304,1.0,0.0,1.0,1.0,2.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,1.0,0.0
